Time CPU_mW GPU_mW Total_mW
8890 9737 0 9737
8900 7910 0 7910
8910 8382 0 8382
8920 8755 0 8755
8930 8117 0 8117
8940 9104 0 9104
8950 8029 0 8029
8960 8516 0 8516
8970 8112 0 8112
8980 8374 0 8374
8990 8344 0 8344
9000 8477 0 8477
9010 8262 0 8262
9020 8696 0 8696
9030 9182 0 9182
9040 8644 0 8644
9050 9974 0 9974
9060 8583 0 8583
9070 6632 0 6632
9080 8924 0 8924
9090 5887 0 5887
9100 8095 0 8095
9110 8131 0 8131
9120 10614 0 10614
9130 10413 0 10413
9140 9048 0 9048
9150 8777 0 8777
9160 8958 0 8958
9170 10149 0 10149
9180 9308 0 9308
9190 8112 0 8112
9200 7063 0 7063
9210 7114 0 7114
9220 6941 0 6941
9230 7115 0 7115
9240 7332 0 7332
9250 7045 0 7045
9260 6234 0 6234
9270 7517 0 7517
9280 6580 0 6580
9290 7066 0 7066
9300 8240 0 8240
9310 8594 0 8594
9320 9176 0 9176
9330 7632 183 7815
9340 9914 391 10305
9350 10492 695 11188
9360 7996 500 8495
9370 6899 535 7434
9380 7417 307 7724
9390 8802 121 8924
9400 7557 0 7557
9410 7265 0 7265
9420 6605 0 6605
9430 7331 0 7331
9440 10208 0 10208
9450 8867 0 8867
9460 10134 0 10134
9470 8018 0 8018
9480 8455 0 8455
9490 7822 0 7822
9500 7624 0 7624
9510 7907 0 7907
9520 8175 0 8175
9530 6813 0 6813
9540 9781 0 9781
9550 9976 0 9976
9560 10955 0 10955
9570 8495 0 8495
9580 8113 0 8113
9590 7308 0 7308
9600 8940 0 8940
9610 10193 0 10193
9620 10123 0 10123
9630 9130 0 9130
9640 9704 0 9704
9650 5035 0 5035
9660 6123 0 6123
9670 3776 0 3776
9680 4474 0 4474
9690 5549 0 5549
9700 5161 0 5161
9710 6461 0 6461
9720 5895 0 5895
9730 2554 0 2554
9740 2603 0 2603
9750 3004 0 3004
9760 2884 0 2884
9770 2457 0 2457
9780 2546 0 2546
9790 2663 0 2663
9800 2714 0 2714
9810 2520 0 2520
9820 4868 0 4868
9830 5388 0 5388
9840 5397 0 5397
9850 5127 0 5127
9860 6377 0 6377
9870 5879 0 5879
9880 7594 0 7594
9890 8082 111 8193
9900 7197 240 7437
9910 9744 258 10002
9920 9041 62 9103
9930 8866 313 9179
9940 8452 250 8702
9950 7599 388 7988
9960 6343 115 6458
9970 5623 247 5870
9980 7817 147 7963
9990 6670 318 6988
10000 6125 322 6447
10010 8389 323 8712
10020 8510 676 9186
10030 7563 341 7904
10040 12055 114 12170
10050 5908 0 5908
10060 8859 0 8859
10070 9673 0 9673
10080 9838 0 9838
10090 8354 129 8483
10100 10166 0 10166
10110 9873 342 10216
